age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
, Not in universe,0,0, High school graduate,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,9, Nonfiler, South,Ohio,Grandchild <18 never marr not in subfamily, Householder, No,0, Not in universe, Outlying-U S (Guam USVI etc), South Korea, El-Salvador, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,5,Joint one under 65 & one 65+, Not in universe,Rhode Island, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
,Federal government,51,2,Bachelors degree(BA AB BS),0,College or university,Never married,Public administration,Executive admin and managerial,Asian or Pacific Islander,All other,Male, Yes,Not in universe,Full-time schedules,0,0,7,Single,Not in universe,New York,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,Iran,United-States,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican (Mexicano),Male,Not in universe,Not in universe,Children or Armed Forces,8,0,3,Nonfiler,Not in universe,Michigan,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Mother only present,Mexico,Mexico,Mexico,Native- Born in the United States,0,Not in universe,0,0,94,0
, Private,30,25, High school graduate,0, Not in universe, Married-civilian spouse present,Private household services, Adm support including clerical, White,Other Spanish, Female,Yes, Not in universe, Children or Armed Forces,5,0,6, Joint both under 65, Not in universe,Wisconsin, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
,Private,41,7,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Hospital services,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,7325,0,2544,Joint both under 65,Not in universe,Massachusetts,Householder,Householder,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,14,0,5,Nonfiler,Not in universe,Massachusetts,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
, Private,3,43, High school graduate,0, Not in universe, Married-civilian spouse present, Transportation, Precision production craft & repair, White, Chicano, Male, No, Not in universe, Unemployed full-time,4,0,4, Joint both under 65, Not in universe,Arkansas, Nonfamily householder, Householder, Not in universe under 1 year old,5, Not in universe, Mexico, Mexico, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,38,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,9,0,5,Nonfiler,Not in universe,Mississippi,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Dominican-Republic,Haiti,United-States,Native- Born abroad of American Parent(s),0,Not in universe,0,0,95,0
,Private,31,25,Some college but no degree,0,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,Puerto Rican,Female,Not in universe,Not in universe,Full-time schedules,0,0,7,Joint both under 65,Not in universe,Virginia,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
, Private,30,27, High school graduate,1710, Not in universe, Married-civilian spouse present, Transportation, Adm support including clerical, Other, All other, Female, Yes, Not in universe, Full-time schedules,0,0,7, Joint both under 65, Not in universe,Arizona, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Private,42,30,11th grade,0,Not in universe,Married-civilian spouse present,Communications,Other service,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Midwest,Arizona,Spouse of householder,Spouse of householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,94,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,2,0,1, Nonfiler, Northeast,Arizona, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, Mexico, England, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Private,42,29, Some college but no degree,0, Not in universe, Widowed, Education, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Full-time schedules,4,0,9, Joint both under 65, Not in universe,Nebraska, Householder, Householder, Not in universe under 1 year old,6, Not in universe, Canada, Canada, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,19,95,0
, Private,33,36, 10th grade,0, High school, Never married, Retail trade, Sales, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,6, Single, Not in universe,Missouri, Child <18 never marr not in subfamily, Child under 18 never married, Yes,2, Mother only present, Honduras, United-States, United-States, Native- Born in the United States,0, Not in universe,2,25,94,0
,Private,29,37,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,2,1,4,Joint both under 65,Not in universe,Idaho,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Private,30,37, High school graduate,0, Not in universe, Married-civilian spouse present, Public administration, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,4,0,8, Joint both under 65, Not in universe,Michigan, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Private,33,36,Some college but no degree,0,Not in universe,Never married,Retail trade,Handlers equip cleaners etc,White,All other,Male,No,Not in universe,Full-time schedules,12,1,6,Single,Not in universe,Ohio,Secondary individual,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,2,Nonfiler,Not in universe,Tennessee,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
, Federal government,0,0, High school graduate,0, Not in universe, Married-A F spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,7,0,7, Joint both 65+, Not in universe,Virginia, Nonfamily householder, Householder, Yes,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,41,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Other,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,3,0,9,Nonfiler,West,South Carolina,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Mother only present,Mexico,Mexico,United-States,Native- Born abroad of American Parent(s),0,Not in universe,0,0,94,0
,Private,45,26,Some college but no degree,0,Not in universe,Married-civilian spouse present,Social services,Other service,White,All other,Female,Not in universe,Re-entrant,Children or Armed Forces,0,0,6,Joint both under 65,West,Louisiana,Spouse of householder,Spouse of householder,No,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,40,94,0
, Not in universe,35,8, High school graduate,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, Central or South American, Female, Not in universe, Not in universe, Full-time schedules,7,0,7, Nonfiler, Not in universe,Missouri, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Mother only present, Yugoslavia, ?, Germany, Native- Born abroad of American Parent(s),0, Not in universe,2,0,95,0
,Private,9,35,Doctorate degree(PhD EdD),537,Not in universe,Never married,Manufacturing-durable goods,Technicians and related support,White,All other,Male,Not in universe,Not in universe,PT for econ reasons usually FT,7,0,0,Single,Not in universe,Rhode Island,Nonfamily householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,Mexico,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
,Private,30,13,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Not in universe or children,Technicians and related support,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,14831,0,3,Joint both under 65,Abroad,Wisconsin,Householder,Householder,No,5,Not in universe,Jamaica,El-Salvador,Canada,Foreign born- Not a citizen of U S,2,Not in universe,2,48,94,0
,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,6,0,3,Nonfiler,Not in universe,Nebraska,Other Rel 18+ ever marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
, Private,42,29, Some college but no degree,0, Not in universe, Widowed, Education, Professional specialty, White, All other, Female, No, Other job loser, Full-time schedules,0,0,10, Single, Not in universe,New Hampshire, Nonfamily householder, Householder, Not in universe under 1 year old,3, Not in universe, Canada, Poland,Ecuador, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,95,0
, Not in universe,0,0, Some college but no degree,0, Not in universe, Widowed, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, PT for non-econ reasons usually FT,6,0,12, Single, Not in universe,North Carolina, Nonfamily householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, No,1,0,95,0
,Private,42,2,10th grade,0,Not in universe,Divorced,Social services,Executive admin and managerial,Black,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,7,Single,Not in universe,Arkansas,Child 18+ ever marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,19,95,0
, Self-employed-not incorporated,41,2, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,11,0,9, Joint both under 65, Not in universe,Nebraska, Spouse of householder, Spouse of householder, Not in universe under 1 year old,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,4,0,3, Nonfiler, Not in universe,Wyoming, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,1,5,Joint both under 65,Not in universe,Oklahoma,Spouse of householder,Spouse of householder,Yes,0,Not in universe,Hungary,Italy,Canada,Foreign born- U S citizen by naturalization,0,Not in universe,2,0,94,0
, Private,38,29, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Transportation, Precision production craft & repair, White,Puerto Rican, Male, Not in universe, Not in universe, Children or Armed Forces,3,0,2, Joint both under 65, Not in universe,North Dakota, Householder, Householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
, Not in universe,0,0, Some college but no degree,0, Not in universe, Divorced, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Northeast,West Virginia, Nonfamily householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,1,0,94,0
,Private,34,34,High school graduate,0,Not in universe,Married-civilian spouse present,Retail trade,Precision production craft & repair,White,All other,Male,No,Not in universe,PT for non-econ reasons usually FT,2,0,5,Joint both under 65,Not in universe,Maine,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
,Private,41,9,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Medical except hospital,Professional specialty,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,2,Joint both under 65,West,Connecticut,Spouse of householder,Spouse of householder,No,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
,Private,29,38,High school graduate,0,Not in universe,Married-civilian spouse present,Utilities and sanitary services,Precision production craft & repair,White,All other,Male,Not in universe, Other job loser,Children or Armed Forces,1,0,4,Joint both under 65,South,Florida,Householder,Householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,39,94,0
, Federal government,51,2, Some college but no degree,0, Not in universe, Married-civilian spouse present, Public administration, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,0,0,6, Joint both under 65, Not in universe,Ohio, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Central or South American, Male, Not in universe, Not in universe, Children or Armed Forces,14,0,7, Nonfiler, Not in universe,Louisiana, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Mother only present, Vietnam, Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Private,27,35,5th or 6th grade,0,Not in universe,Never married,Construction,Machine operators assmblrs & inspctrs,Asian or Pacific Islander,Central or South American,Male,Not in universe,Other job loser,Children or Armed Forces,0,0,1,Joint both under 65,Not in universe,Alaska,Grandchild 18+ spouse of subfamily RP,Other relative of householder,Yes,2,Not in universe,Guatemala,Trinadad&Tobago,Ireland,Foreign born- Not a citizen of U S,0,Not in universe,2,3,94,0
,Private,0,0,Some college but no degree,0,Not in universe,Divorced,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Unemployed full-time,0,0,1,Joint one under 65 & one 65+,Not in universe,Indiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,3,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
, Private,33,19, 10th grade,0, High school, Never married, Retail trade, Sales, White, All other, Male, Not in universe, Re-entrant, Unemployed part- time,2,0,4, Nonfiler, Not in universe,New Hampshire, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,2, Mother only present, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,38,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe,Arkansas, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
,Private,29,0,7th and 8th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,0,Nonfiler,Not in universe,Connecticut,Householder,Householder,Yes,0,Not in universe,Nicaragua,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,Central or South American,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Nonfiler,Not in universe,New Hampshire,Other Rel <18 never marr not in subfamily,Child under 18 never married,Yes,0,Mother only present,Nicaragua,Guatemala,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,10,0,8,Nonfiler,Not in universe,Oregon,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,42,9,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Social services,Professional specialty,White,All other,Female,Not in universe,Not in universe,PT for non-econ reasons usually FT,7,1,2,Joint both under 65,Not in universe,Arizona,Spouse of householder,Spouse of householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Foreign born- U S citizen by naturalization,2,Not in universe,2,52,95,0
,Private,34,24,Some college but no degree,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Full-time schedules,0,1,2,Joint both under 65,Not in universe,Louisiana,Spouse of householder,Spouse of householder,Yes,5,Not in universe,Philippines,El-Salvador,India,Foreign born- Not a citizen of U S,0,Not in universe,2,52,94,0
, Private,33,28, 11th grade,487, High school, Never married, Retail trade, Other service, White, Mexican (Mexicano), Female, Not in universe, Re-entrant, Full-time schedules,0,0,6, Single, Not in universe,West Virginia, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,2, Mother only present, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,41,95,0
, Federal government,29,0, High school graduate,0, Not in universe,Widowed, Communications, Protective services, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,7, Joint both 65+, Not in universe,West Virginia, Householder, Householder, Not in universe under 1 year old,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,26,95,0
, Local government,45,11, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Female, Yes, Not in universe, Full-time schedules,6,1,5, Joint both under 65, Not in universe,Kansas, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
, Private,29,37, High school graduate,0, Not in universe, Married-civilian spouse present, Agriculture, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,4,0,6, Joint both under 65, Not in universe,Nebraska, Householder, Householder, Yes,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
, Private,36,17, High school graduate,0, Not in universe, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,2,0,6, Joint both under 65, Not in universe,California, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
,Private,36,17,Associates degree-academic program,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Adm support including clerical,White, Cuban,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,6,Joint both under 65,Not in universe,Utah,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,1,5, Nonfiler, Not in universe,South Carolina, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
,Private,4,34,10th grade,0,Not in universe,Never married,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,6,0,5,Single,Not in universe,New York,Child 18+ never marr Not in a subfamily,Other relative of householder,Not in universe under 1 year old,2,Not in universe,Mexico,United-States,United-States,Native- Born in the United States,0,Not in universe,2,49,95,0
,Private,33,26,Some college but no degree,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Adm support including clerical,White,All other,Female,No,Not in universe,Full-time schedules,0,0,2,Joint both under 65,Not in universe,North Carolina,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
,Private,1,43,Some college but no degree,0,Not in universe,Never married,Agriculture,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,4,Single,Not in universe,New Jersey,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,2,52,95,0
, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,6,0,4, Nonfiler, Not in universe,North Dakota, Other Rel 18+ ever marr not in subfamily, Other relative of householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White,Other Spanish, Male, Not in universe, Not in universe, Not in labor force,9,0,2, Nonfiler, Not in universe,Montana, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, England, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
, Not in universe,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,0,5, Joint one under 65 & one 65+, Not in universe,Arizona, Spouse of householder, Spouse of householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
, Not in universe,0,0, High school graduate,0, Not in universe, Separated, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,2,0,6, Head of household, Not in universe,South Carolina, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
,Private,36,2,Associates degree-occup /vocational,0,Not in universe,Divorced,Hospital services,Professional specialty,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,6,Single,Not in universe,Idaho,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,8,0,10, Nonfiler, Northeast,Texas, Nonfamily householder, Householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,12,0,1,Nonfiler,Not in universe,Arkansas,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
,Private,0,23,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Adm support including clerical,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Full-time schedules,0,1,3,Joint both under 65,Not in universe,Florida,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,Philippines, Poland,Hong Kong,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Single, Not in universe,, Nonfamily householder, Householder, No,3, Not in universe, England, ?, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,19,94,0
,Private,43,10,Some college but no degree,0,Not in universe,Never married,Entertainment,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,8,Single,Not in universe,South Dakota,Child 18+ ever marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
, Private,34,34, 11th grade,0, Not in universe, Separated, Personal services except private HH, Other service, White, All other, Female, No, Other job loser, Children or Armed Forces,0,0,5, Head of household, Not in universe,Maryland, Nonfamily householder, Child 18 or older, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,20,94,0
,Private,21,24,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Adm support including clerical,White,Other Spanish,Female,Not in universe,Not in universe,Full-time schedules,0,1,3,Joint both under 65,Not in universe,Maine,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,Columbia,United-States,United-States,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,0
, Not in universe,0,0, Children,0, High school, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Nonfiler, Northeast,Idaho, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
,Not in universe,0,0,10th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,5,0,3,Nonfiler,Not in universe,Maryland,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
,Private,42,29,Some college but no degree,0,Not in universe,Married-civilian spouse present,Entertainment,Technicians and related support,White,All other,Female,Not in universe,Not in universe,Full-time schedules,3,0,1,Joint both under 65,Not in universe,Indiana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
,Not in universe,0,0,9th grade,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,0,0,2,Single,Not in universe,Wyoming,Nonfamily householder,Child 18 or older,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
,Not in universe,0,0,10th grade,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,1,0,1,Nonfiler,Not in universe,New York,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,Peru,China,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
, Private,33,0, Bachelors degree(BA AB BS),1, Not in universe, Married-civilian spouse present, Mining, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,7, Joint both under 65, Not in universe,Kentucky, Householder, Householder, Not in universe under 1 year old,2, Not in universe, Nicaragua, China,Germany, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,1,0,4,Nonfiler,Not in universe,North Dakota,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,0,0,95,0
, Private,42,30, 10th grade,0, Not in universe, Never married, Retail trade, Other service, White, All other, Female, No, Not in universe, Unemployed full-time,6,0,5, Nonfiler, Not in universe,Texas, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
