age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
14,Private,43,10,Some college but no degree,0,Not in universe,Married-civilian spouse present,Social services, Other service,White,All other,Male,Not in universe,Not in universe,Full-time schedules,2281,0,3,Joint both under 65,Not in universe,Hawaii,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,Not in universe,2,10,95,1
53,Not in universe,0,0,High school graduate,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4401,0,0,Single,Not in universe,Arizona,Child 18+ never marr RP of subfamily,Householder,Yes,0,Not in universe,India,Trinadad&Tobago,Germany,Foreign born- U S citizen by naturalization,0,Not in universe,2,2,94,0
18,Private,29,33,High school graduate,0,Not in universe,Never married,Education,Technicians and related support,White,All other,Female,Not in universe,Not in universe, PT for non-econ reasons usually FT,0,0,4,Single,Not in universe,Tennessee,Secondary individual,Nonrelative of householder,Not in universe under 1 year old,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
53,Private,33,19,High school graduate,507,Not in universe,Married-civilian spouse present,Retail trade,Sales,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,1,0,Joint both under 65,Not in universe,Kansas,Householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,1,Not in universe,2,40,95,0
51,Private,44,35,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Medical except hospital,Other service,White,All other,Male,Not in universe,Re-entrant,PT for non-econ reasons usually FT,1,1,2,Joint both under 65,West,New York,Householder,Householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,No,1,39,95,0
18, Private,12,43, High school graduate,0, Not in universe, Never married, Agriculture, Precision production craft & repair, White, All other, Male, No, Not in universe, Full-time schedules,1,0,5, Single, Not in universe,Maine, RP of unrelated subfamily, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
14,Private,4,43,Children,0,High school,Never married,Retail trade,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,2,Single,Not in universe,New Hampshire,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
64, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,3,0,6, Joint both under 65, Not in universe,Michigan, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
62, Private,44,24, High school graduate,0, Not in universe, Widowed, Education, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, PT for non-econ reasons usually FT,0,0,4, Single, Not in universe,Utah, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
48,Private,43,25,Some college but no degree,1371,Not in universe,Never married,Education,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Full-time schedules,1,0,3,Single,Not in universe,Washington,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
34,Private,33,25,9th grade,0,Not in universe,Married-civilian spouse present,Retail trade,Handlers equip cleaners etc,White,Mexican (Mexicano),Female,No,Not in universe,Full-time schedules,0,0,9,Joint both under 65,Not in universe,Washington,Spouse of householder,Spouse of householder,Not in universe under 1 year old,5,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,0
15,Private,33,24,Associates degree-academic program,0,College or university,Never married,Retail trade,Private household services,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,New Hampshire,Spouse of householder,Spouse of householder,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
57,Local government,49,29,Doctorate degree(PhD EdD),1815,Not in universe,Married-civilian spouse present,Public administration,Protective services,White,Puerto Rican,Male,Yes,Not in universe,Children or Armed Forces,0,0,5,Joint both under 65,Not in universe,Minnesota,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,1,52,94,0
21,Private,44,11,Associates degree-occup /vocational,0,Not in universe,Never married,Education,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,5,0,0,Single,Not in universe,Nevada,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
55,Private,33,0,Some college but no degree,0,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,1,0,2,Single,Not in universe,Idaho,Householder,Householder,Not in universe under 1 year old,6,Not in universe,Italy,Japan,,Foreign born- Not a citizen of U S,0,Not in universe,2,25,95,0
58, Private,33,17, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,5,0,3, Joint both under 65, Not in universe,Louisiana, Householder, Householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born abroad of American Parent(s),0, Not in universe,2,18,94,0
72,Not in universe,0,0,11th grade,1,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,6,0,4,Nonfiler,Not in universe,Iowa,Nonfamily householder,Householder,Not in universe under 1 year old,0,Not in universe,Cuba,,,Native- Born abroad of American Parent(s),0,Not in universe,2,0,95,0
49, Private,22,32, High school graduate,0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, Central or South American, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,3, Joint both under 65, Not in universe,West Virginia, Spouse of householder, Spouse of householder, Yes,6, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,95,0
35, Private,30,28, High school graduate,0, Not in universe, Married-civilian spouse present, Public administration, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,6, Joint both under 65, Not in universe,Iowa, Spouse of householder, Spouse of householder, Not in universe under 1 year old,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
12, Not in universe,0,0, Children,0, High school, Never married, Not in universe or children, Not in universe, White, Puerto Rican, Female, Not in universe, Not in universe, Children or Armed Forces,13,0,9, Nonfiler, Not in universe,New York, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico, ?, Germany, Native- Born in the United States,0, Not in universe,0,0,95,0
18,Private,39,2,Some college but no degree,0,Not in universe,Never married,Education,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,PT for non-econ reasons usually FT,0,0,6,Single,Not in universe,New Jersey,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,26,95,0
8, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Central or South American, Male, Not in universe, Not in universe, Children or Armed Forces,17,0,7, Nonfiler, Not in universe,Nevada, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico, Philippines, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,0,0,95,0
3,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,Not in universe,Vermont,Grandchild <18 never marr not in subfamily,Other relative of householder,Yes,0,Neither parent present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
17,Private,33,28,Associates degree-occup /vocational,0,Not in universe,Never married,Personal services except private HH,Other service,White,Mexican-American,Male,Not in universe,Not in universe,Unemployed full-time,5,0,4,Nonfiler,Not in universe,Alabama,Other Rel 18+ ever marr RP of subfamily,Other relative of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
62, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,4,0,7, Nonfiler, Not in universe,Nevada, Spouse of householder, Householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
40,Private,30,34,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Transportation,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Joint both under 65,Not in universe,North Dakota,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,4,94,0
15, Private,2,38, High school graduate,0, Not in universe, Never married, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7,0,7, Single, Not in universe,Iowa, Child 18+ never marr Not in a subfamily, Nonrelative of householder, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1
16, Private,33,37, 7th and 8th grade,0, High school, Never married, Retail trade, Precision production craft & repair, White, All other, Female, Not in universe, Re-entrant, Unemployed full-time,0,0,9, Single, Not in universe,Ohio, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,48,95,0
66,Not in universe,0,0,Some college but no degree,1,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Joint both under 65,Not in universe,Pennsylvania,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,0,94,0
49,State government,43,11,Doctorate degree(PhD EdD),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Male,Yes,Not in universe,Full-time schedules,0,1,3,Joint both under 65,Not in universe,Arkansas,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
17, Not in universe,0,0, 10th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe,Colorado, Nonfamily householder, Child 18 or older, No,0, Not in universe, ?, ?,Laos, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,94,0
46, Private,29,36, High school graduate,0, Not in universe, Married-spouse absent, Manufacturing-nondurable goods, Precision production craft & repair, White, All other, Female, No, Not in universe, Full-time schedules,0,0,8, Single, Not in universe,Kentucky, Nonfamily householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, Canada, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
52,Private,11,36,5th or 6th grade,0,Not in universe,Divorced,Manufacturing-durable goods,Machine operators assmblrs & inspctrs,White,Mexican (Mexicano),Male,No,Not in universe,PT for non-econ reasons usually FT,0,0,5,Single,Not in universe,Maine,Child under 18 of RP of unrel subfamily,Other relative of householder,Yes,6,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,52,94,0
39,Federal government,28,37,High school graduate,1,Not in universe,Married-civilian spouse present,Transportation,Precision production craft & repair,Other,,Male,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Delaware,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
18, Private,13,3, High school graduate,0, Not in universe, Never married, Manufacturing-durable goods, Executive admin and managerial, White, All other, Female, No, Not in universe, Full-time schedules,5,0,4, Joint both under 65, Not in universe,Ohio, Other Rel 18+ never marr not in subfamily, Nonrelative of householder, Not in universe under 1 year old,4, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
1,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Nonfiler,Not in universe,Florida,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
34,Not in universe,0,0,High school graduate,1,Not in universe,Widowed,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,7,Nonfiler,Not in universe,Virginia,Other Rel 18+ ever marr RP of subfamily,Other relative of householder,Not in universe under 1 year old,0,Not in universe,,United-States,Canada,Foreign born- Not a citizen of U S,0,Not in universe,2,0,95,0
8,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,0,Nonfiler,Not in universe,Florida,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,0,0,94,0
31,Not in universe,0,0,7th and 8th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,Mexican (Mexicano),Male,Not in universe, Job loser - on layoff,Children or Armed Forces,0,0,5,Joint both under 65,West,Wyoming,Householder,Householder,No,0,Not in universe,Mexico,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
11,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,8,0,2,Nonfiler,Not in universe,Utah,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
49, Private,41,8, High school graduate,0, Not in universe, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, Cuban, Female,Yes, Not in universe, Full-time schedules,0,0,4, Joint both under 65, Not in universe,Arizona, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, El-Salvador, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
43,Not in universe,0,0,9th grade,1,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Not in labor force,2,0,3,Joint both under 65,Not in universe,New Jersey,Householder,Householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,0,94,0
49, Private,3,39, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,3,0,3, Joint both under 65, Not in universe,Indiana, Householder, Householder, Yes,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,39,94,1
57,Not in universe,0,0,7th and 8th grade,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,4,Joint both under 65,Not in universe,Mississippi,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
40, Private,33,24, High school graduate,496, Not in universe, Married-civilian spouse present, Medical except hospital, Other service, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,12, Joint both under 65, Not in universe,Pennsylvania, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1
1,Not in universe,0,0,Children,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,8,0,7,Nonfiler,Not in universe,Hawaii,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
51, Not in universe,0,0, 5th or 6th grade,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, Not in universe, Not in labor force,10,0,8, Nonfiler, Not in universe,Ohio, Child 18+ never marr Not in a subfamily, Child 18 or older, Not in universe under 1 year old,0, Not in universe, ?, ?, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,0,95,0
60,Private,8,11,Bachelors degree(BA AB BS),0,Not in universe,Separated,Manufacturing-durable goods,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,0,Single,Not in universe,Arkansas,Householder,Householder,Not in universe under 1 year old,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
63,Private,3,16,Some college but no degree,0,Not in universe,Married-civilian spouse present,Construction,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,11,0,8,Joint both under 65,Not in universe,Arizona,Householder,Householder,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,1
55,Local government,29,26,High school graduate,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Adm support including clerical,White,Mexican-American,Male,No,Not in universe,Children or Armed Forces,0,0,2,Joint both under 65,Midwest,New Mexico,Householder,Householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
13,Not in universe,0,0,10th grade,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,New entrant,Children or Armed Forces,5,0,7,Nonfiler,Not in universe,New York,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Neither parent present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
25,Private,33,25,High school graduate,0,Not in universe,Separated,Retail trade,Other service,White,All other,Female,Not in universe,Not in universe,Full-time schedules,5,0,0,Single,Not in universe,Vermont,Child 18+ ever marr RP of subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
64, Private,29,17, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,1,0,7, Head of household, South,New Hampshire, Householder, Householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,19,94,0
38,Private,29,26,High school graduate,0,Not in universe,Married-civilian spouse present,Wholesale trade,Adm support including clerical,White,All other,Female,No,Job loser - on layoff,Children or Armed Forces,3,0,8,Joint both under 65,Not in universe,South Carolina,Spouse of householder,Child 18 or older,Yes,5,Not in universe,Canada,Columbia,Canada,Foreign born- Not a citizen of U S,0,Not in universe,2,39,94,0
15,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,6,0,2,Nonfiler,Not in universe,Minnesota,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Mother only present,Dominican-Republic,Columbia,United-States,Foreign born- Not a citizen of U S,0,Not in universe,0,0,94,0
53,Self-employed-not incorporated,43,12,Associates degree-academic program,1354,Not in universe,Married-civilian spouse present,Entertainment,Other service,White,All other,Male,Yes,Job leaver,Full-time schedules,1,0,2,Joint both under 65,Not in universe,Kansas,Spouse of householder,Spouse of householder,Not in universe under 1 year old,5,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
19, Private,33,25, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,11, Joint both under 65, Not in universe,Pennsylvania, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,40,94,0
41, Private,43,15, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Hospital services, Technicians and related support, White, All other, Female, Not in universe, Re-entrant, Unemployed part- time,5,0,2, Joint both under 65, Not in universe,Georgia, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
3, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, Other Spanish, Female, Not in universe, Not in universe, Children or Armed Forces,15,0,8, Nonfiler, Not in universe,Texas, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, ?, ?, ?, Foreign born- Not a citizen of U S ,0, Not in universe,0,0,95,0
4, Not in universe,0,0, Children,1, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,11,0,10, Nonfiler, Not in universe,Arkansas, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico, ?, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
38,Private,43,25,Associates degree-occup /vocational,0,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Joint both under 65,Not in universe,South Dakota,Spouse of householder,Spouse of householder,Yes,1,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,1
18, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7,0,5, Nonfiler, Not in universe,Arkansas, Child <18 never marr not in subfamily, Child under 18 never married, Yes,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
47, Private,38,33, Associates degree-academic program,0, Not in universe, Married-civilian spouse present, Not in universe or children, Adm support including clerical, Other, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,10, Joint both under 65, South,Indiana, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
40,Local government,48,27,Some college but no degree,1,Not in universe,Married-civilian spouse present,Public administration,Adm support including clerical,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,8,Joint both under 65,Not in universe,Wisconsin,Spouse of householder,Spouse of householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
1,Not in universe,0,0,Children,0,High school,Never married,Not in universe or children,Not in universe,Other,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,7,Nonfiler,Northeast,West Virginia,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Both parents present,Mexico,Mexico,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
22, Private,4,35, High school graduate,0, Not in universe, Married-civilian spouse present, Construction, Precision production craft & repair, White, All other, Male, No, Other job loser, Unemployed full-time,7,0,5, Single, Not in universe,New Mexico, Householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
0,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Other,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,2,Nonfiler,Northeast,Missouri,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Both parents present,Mexico,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
38,Private,12,2,Some college but no degree,0,Not in universe,Never married,Manufacturing-durable goods,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,7,Single,Not in universe,Delaware,Nonfamily householder,Householder,Not in universe under 1 year old,3,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
32, Private,29,9, Some college but no degree,1, Not in universe, Never married, Other professional services, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, Full-time schedules,11,0,6, Single, Not in universe,Kansas, Nonfamily householder, Other relative of householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,1,26,95,0
39,Private,39,32,Some college but no degree,0,Not in universe,Married-civilian spouse present,Personal services except private HH,Other service,White,Puerto Rican,Male,Not in universe,Not in universe,Children or Armed Forces,7374,0,0,Joint both under 65,Midwest,Kansas,Householder,Householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,1,52,94,0
1,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Other Spanish,Male,Not in universe,Not in universe,Children or Armed Forces,7,0,0,Nonfiler,Not in universe,Pennsylvania,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
51, Private,12,37, 7th and 8th grade,0, Not in universe, Never married, Manufacturing-durable goods, Precision production craft & repair, White, All other, Male, No, Not in universe, Children or Armed Forces,3,0,5, Joint both under 65, Midwest,California, Secondary individual, Nonrelative of householder, No,5, Not in universe, United-States,France, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,2,48,94,1
42,Private,36,27,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Machine operators assmblrs & inspctrs,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,4,0,6,Joint both under 65,Not in universe,Maryland,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
47, Private,44,25, High school graduate,498, Not in universe, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, All other, Female, No, Not in universe, Full-time schedules,0,0,7, Joint both under 65, Not in universe,Florida, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,19,95,0
51,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,2,Joint both under 65,Not in universe,Virginia,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
33,Private,36,2,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Widowed,Finance insurance and real estate,Executive admin and managerial,White,Central or South American,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,5,Joint both under 65,West,Delaware,Householder,Householder,No,5,Not in universe,Hong Kong,Italy,Dominican-Republic,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,94,0
46,Federal government,49,2,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,1,Single,Not in universe,Florida,Householder,Householder,Not in universe under 1 year old,1,Not in universe, Portugal,Poland,United-States,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,1
55, Not in universe,0,0, 12th grade no diploma,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,6,0,4, Joint both under 65, Not in universe,Vermont, Householder, Householder, Not in universe under 1 year old,1, Not in universe, Germany, United-States, United-States, Native- Born in the United States,2, Not in universe,2,0,95,0
