age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
57,Not in universe,0,0,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,5,0,2,Joint both under 65,Not in universe,New Hampshire,Spouse of householder,Spouse of householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,94,0
66, Not in universe,0,0, 7th and 8th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,9,0,5, Nonfiler, Not in universe,Kentucky, Householder, Householder, Yes,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
15, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Other, Central or South American, Female, Not in universe,Other job loser, Children or Armed Forces,8,0,7, Nonfiler, Not in universe,New Mexico, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Dominican-Republic,Scotland, Japan, Native- Born abroad of American Parent(s),0, Not in universe,2,0,95,0
55, Private,30,35, High school graduate,0, Not in universe, Married-civilian spouse present, Business and repair services, Transportation and material moving, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,6,0,6, Joint both under 65, Not in universe,Indiana, Spouse of householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,39,94,0
45,Private,43,2,Masters degree(MA MS MEng MEd MSW MBA),0,College or university,Married-civilian spouse present,Communications,Professional specialty,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,7,Joint both under 65, Northeast,West Virginia,Householder,Spouse of householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,36,94,0
54,Federal government,0,0,Associates degree-academic program,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Nevada,Spouse of householder,Householder,Yes,6,Not in universe,Poland,Canada,,Foreign born- U S citizen by naturalization,0,Not in universe,2,0,94,0
48, Private,37,34, High school graduate,0, Not in universe, Divorced, Social services, Other service, White, All other, Male, No, Not in universe, Children or Armed Forces,9,0,3, Single, Not in universe,Wisconsin, Nonfamily householder, Householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
4, Not in universe,33,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,8,0,4, Nonfiler, Not in universe,Delaware, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Mexico,Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
50, Private,42,29, High school graduate,0, Not in universe, Never married, Business and repair services, Adm support including clerical, White, All other, Female, No, Not in universe, Children or Armed Forces,2,0,6, Single, Not in universe,California, Nonfamily householder, Householder, Yes,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
16,Private,5,33,Some college but no degree,0,Not in universe,Divorced,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Other job loser,Full-time schedules,6,0,1,Single,Not in universe,Idaho,Nonfamily householder,Householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,49,95,0
1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Amer Indian Aleut or Eskimo, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Not in universe,Delaware, Grandchild <18 never marr not in subfamily, Other relative of householder, Yes,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
40, Private,36,8, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Never married, Hospital services, Professional specialty, Asian or Pacific Islander, All other, Male, No, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Not in universe,Minnesota, Householder, Householder, No,5, Not in universe,Philippines, Philippines, Portugal, Foreign born- Not a citizen of U S ,0, Not in universe,2,48,94,0
15, Private,12,34, High school graduate,0, Not in universe, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Female, No, Not in universe, Full-time schedules,10,0,7, Single, Not in universe,Virginia, Secondary individual, Nonrelative of householder, Not in universe under 1 year old,6, Not in universe, England, United-States, United-States, Foreign born- Not a citizen of U S ,2, Not in universe,2,25,95,1
79, Not in universe,0,0, High school graduate,0, Not in universe, Widowed, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,3,0,6, Nonfiler, Not in universe,New Mexico, Spouse of householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,0,95,0
57,Private,33,33,High school graduate,0,Not in universe,Never married,Retail trade,Precision production craft & repair,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,3,Single,Not in universe,Minnesota,Child 18+ never marr Not in a subfamily,Child 18 or older,Yes,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
56, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, PT for econ reasons usually PT,9,1,7, Joint both under 65, Not in universe,Mississippi, Householder, Householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,2,0,95,0
44,Private,48,2,Bachelors degree(BA AB BS),0,College or university,Never married,Manufacturing-durable goods,Executive admin and managerial,White,All other,Female, Yes,Not in universe,Full-time schedules,0,0,201,Single,Not in universe,Nevada,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,China,Philippines,Germany,Foreign born- U S citizen by naturalization,0,Not in universe,2,52,95,0
55, Private,31,23, High school graduate,1, Not in universe, Married-civilian spouse present, Transportation, Adm support including clerical, White, All other, Female, Yes, Not in universe, Children or Armed Forces,0,0,7, Joint both under 65, Not in universe,Kansas, Spouse of householder, Spouse of householder, Yes,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
17, Private,33,19, High school graduate,0, High school, Never married, Retail trade, Sales, White, All other, Female, Not in universe, Not in universe, Full-time schedules,6,0,4, Single, Not in universe,Ohio, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,39,95,0
49, Private,43,27, Masters degree(MA MS MEng MEd MSW MBA),0, Not in universe, Married-civilian spouse present, Business and repair services, Adm support including clerical, Other, All other, Female, Not in universe, Not in universe, Full-time schedules,0,1,5, Joint both under 65, Not in universe,New Mexico, Householder, Householder, Not in universe under 1 year old,5, Not in universe, El-Salvador, Italy, ?, Foreign born- U S citizen by naturalization,0, Not in universe,2,52,95,0
54, Not in universe,0,0, 10th grade,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,3,0,3, Single, Not in universe,Mississippi, Child <18 never marr not in subfamily, Other relative of householder, Not in universe under 1 year old,0, Not in universe, Mexico, Mexico, England, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,95,0
57,Private,22,37,5th or 6th grade,0,Not in universe,Married-civilian spouse present,Manufacturing-nondurable goods,Machine operators assmblrs & inspctrs,White,Mexican (Mexicano),Male,Not in universe,Not in universe,Unemployed full-time,0,0,0,Joint both under 65,Not in universe,Michigan,Householder,Householder,Yes,5,Not in universe,Mexico,Mexico,Mexico,Foreign born- Not a citizen of U S,0,Not in universe,2,0,94,0
21, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male,Not in universe, Job leaver, Unemployed full-time,10,0,2, Nonfiler, Not in universe,New Jersey, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,0
45,Private,33,2,High school graduate,0,Not in universe,Married-civilian spouse present,Manufacturing-durable goods,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,1,Joint both under 65,Not in universe,Virginia,Spouse of householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
2, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,9, Nonfiler, Not in universe,Louisiana, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
27,Private,3,34,11th grade,0,Not in universe,Never married,Construction,Farming forestry and fishing,Amer Indian Aleut or Eskimo,All other,Male,Not in universe, Other job loser,Full-time schedules,9,0,7,Single,Not in universe,California,Child 18+ never marr Not in a subfamily,Other relative of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
52,Private,29,27,High school graduate,787,Not in universe,Married-civilian spouse present,Medical except hospital, Private household services,White,All other,Male,Not in universe,Job leaver,Children or Armed Forces,0,0,4,Joint both under 65,Not in universe,Pennsylvania,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
53, Private,37,37, High school graduate,0, Not in universe, Married-civilian spouse present, Business and repair services, Professional specialty, White, All other, Female, No, Not in universe, Full-time schedules,6,0,2, Joint both under 65, Not in universe,Missouri, Householder, Spouse of householder, Not in universe under 1 year old,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,0
19,Private,33,16,High school graduate,0,High school,Married-civilian spouse present,Finance insurance and real estate,Precision production craft & repair,Amer Indian Aleut or Eskimo,All other,Male,Not in universe,Not in universe,Children or Armed Forces,14,0,5,Nonfiler,Not in universe,Massachusetts,Child 18+ ever marr Not in a subfamily,Child 18 or older,Yes,4,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,18,94,0
17, Not in universe,0,0, 11th grade,0, High school, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,1,0,5, Nonfiler, Not in universe,Nevada, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,0, Mother only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
55,Private,28,2,Bachelors degree(BA AB BS),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,1,148,Joint both under 65,Not in universe,New Jersey,Householder,Householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,1
22, Private,33,19, 10th grade,0, High school, Never married, Retail trade, Sales, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,2, Nonfiler, South,Wyoming, Child <18 never marr not in subfamily, Child under 18 never married, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,18,94,0
27, Federal government,51,23, Some college but no degree,0, Not in universe, Married-civilian spouse present, Public administration, Adm support including clerical, Black, All other, Female, Yes, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Not in universe,Maryland, Householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,48,94,0
68, Private,28,43, High school graduate,0, Not in universe, Married-civilian spouse present, Medical except hospital, Precision production craft & repair, White, All other, Male, Not in universe, Not in universe, PT for econ reasons usually PT,7,0,4, Joint both under 65, Not in universe,New Mexico, Householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
39, Not in universe,0,0, Some college but no degree,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,6,0,4, Joint both under 65, Not in universe,Wisconsin, Spouse of householder, Group Quarters- Secondary individual, Yes,2, Not in universe, United-States, Italy, United-States, Native- Born in the United States,0, Not in universe,2,37,94,1
44, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7,0,1, Nonfiler, Not in universe,New York, Other Rel <18 never marr not in subfamily, Other relative of householder, Not in universe under 1 year old,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
24,Private,42,25,Associates degree-academic program,0,College or university,Married-civilian spouse present,Education,Professional specialty,White,All other,Female,No,Not in universe,Unemployed full-time,0,1,3,Joint both under 65,Not in universe,Nevada,Spouse of householder,Spouse of householder,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
44, Private,9,36, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,11,0,6, Joint both under 65, Not in universe,Louisiana, Householder, Householder, Not in universe under 1 year old,2, Not in universe, United-States, Ireland, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
14, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Children or Armed Forces,3,0,0, Nonfiler, Northeast,Georgia, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Both parents present, Mexico, Mexico, United-States, Foreign born- Not a citizen of U S ,0, Not in universe,0,0,94,0
41, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, Asian or Pacific Islander, Other Spanish, Female, Not in universe, Not in universe, Children or Armed Forces,6,0,4, Nonfiler, Not in universe,Connecticut, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, Germany, United-States,Haiti, Native- Born in the United States,0, Not in universe,2,0,95,0
54,Not in universe,0,0,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,7570,0,3,Joint both under 65,Not in universe,Colorado,Householder,Householder,No,0,Not in universe,Hong Kong,Italy,,Foreign born- U S citizen by naturalization,0,Not in universe,2,0,94,1
1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,5,0,5, Nonfiler, Northeast,New Hampshire, Grandchild <18 never marr not in subfamily, Other relative of householder, No,0, Father only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
16, Private,33,16, 10th grade,0, Not in universe, Never married, Retail trade, Sales, White, All other, Male, No, Not in universe, Children or Armed Forces,1,0,7, Single, South,Washington, Nonfamily householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
7,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,3,Nonfiler,Not in universe,Colorado,Grandchild <18 never marr child of subfamily RP,Child under 18 never married,Yes,0,Neither parent present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
9,Not in universe,32,0,Some college but no degree,0,College or university,Never married,Retail trade,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,9,Single,Northeast,Florida,Child 18+ never marr Not in a subfamily,Child 18 or older,No,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,26,94,0
21,Local government,29,30,Some college but no degree,0,College or university,Never married,Public administration,Protective services,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,6,Single,Not in universe,Iowa,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
65, Not in universe,0,0, High school graduate,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Not in labor force,0,1,6523, Joint both 65+, Not in universe,North Dakota, Spouse of householder, Spouse of householder, Not in universe under 1 year old,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,95,1
27,Never worked,0,0,11th grade,0,High school,Never married,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Not in labor force,6,0,4,Nonfiler,Not in universe,New Hampshire,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,25,95,0
38,Private,43,10,Prof school degree (MD DDS DVM LLB JD),0,Not in universe,Married-civilian spouse present,Education,Professional specialty,White,All other,Male,Yes,Not in universe,Children or Armed Forces,6,0,3,Joint both under 65,Not in universe,New York,Householder,Householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,0
38, Federal government,49,27, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Public administration,Protective services, White, All other, Female, Not in universe, Not in universe, Full-time schedules,0,1,1, Head of household, Not in universe,Connecticut, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
25,Private,45,28,10th grade,0,Not in universe,Married-civilian spouse present,Education,Adm support including clerical,White,All other,Female,Not in universe,Not in universe,Unemployed full-time,4,0,6,Joint both under 65,Not in universe,Montana,Spouse of householder,Spouse of householder,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,0,95,0
25,Private,0,26,High school graduate,0,Not in universe,Never married,Retail trade,Not in universe,White,All other,Female,Not in universe,Not in universe,Unemployed full-time,1,0,5,Nonfiler,Not in universe,Nevada,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,25,95,0
49,Private,33,9,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Hospital services,Professional specialty,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Full-time schedules,0,0,0,Joint both under 65,Not in universe,South Carolina,Nonfamily householder,Householder,Not in universe under 1 year old,4,Not in universe,El-Salvador,,Haiti,Foreign born- Not a citizen of U S,0,Not in universe,2,52,95,1
18,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,8,Nonfiler,Not in universe,Nebraska,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,El-Salvador,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
60, Private,29,37, High school graduate,0, Not in universe, Widowed, Business and repair services, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,7,0,6, Single, Not in universe,Minnesota, Nonfamily householder, Householder, Not in universe under 1 year old,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,40,95,1
45,Private,43,11,Associates degree-occup /vocational,0,Not in universe,Never married,Entertainment,Professional specialty,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,9,Single,Not in universe,Maryland,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,95,0
28,Private,4,35,High school graduate,0,Not in universe,Married-civilian spouse present,Construction,Farming forestry and fishing,White,All other,Male,Not in universe,Not in universe,Full-time schedules,0,0,7,Joint both under 65,Not in universe,Iowa,Spouse of householder,Householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,95,0
56, Private,38,2, High school graduate,0, Not in universe, Married-civilian spouse present, Business and repair services, Other service, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,5, Head of household, South,South Dakota, Householder, Householder, No,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,94,0
31, Private,45,24, High school graduate,643, Not in universe, Married-civilian spouse present, Hospital services, Adm support including clerical, White, All other, Female, Not in universe, Job leaver, Full-time schedules,0,0,13, Joint both under 65, Not in universe,Vermont, Spouse of householder, Spouse of householder, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,1, Not in universe,2,52,94,0
1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, Central or South American, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,4, Nonfiler, Midwest,Colorado, Child <18 never marr not in subfamily, Child under 18 never married, No,0, Father only present, Mexico, Mexico, United-States, Native- Born in the United States,0, Not in universe,0,0,94,0
14, Private,33,30, 11th grade,0, Not in universe, Married-civilian spouse present, Retail trade, Other service, White, All other, Female, Not in universe, Re-entrant, Unemployed full-time,0,0,4, Joint both under 65, Not in universe,Georgia, Spouse of householder, Spouse of householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,39,95,0
55,Not in universe,0,25,High school graduate,0,Not in universe,Married-civilian spouse present,Not in universe or children,Not in universe,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,8,0,5,Joint both under 65,Not in universe,Kansas,Householder,Householder,Yes,0,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,No,1,52,94,0
59,Private,11,37,7th and 8th grade,1,Not in universe,Married-civilian spouse present,Construction,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Full-time schedules,5,0,4,Joint both under 65,Not in universe,Missouri,Householder,Householder,Not in universe under 1 year old,2,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,27,95,0
83, Not in universe,0,0, 9th grade,0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,7,0,1, Nonfiler, Not in universe,Michigan, Householder, Householder, Not in universe under 1 year old,0, Not in universe, Dominican-Republic, Italy, Cuba, Native- Born in the United States,0, Not in universe,2,0,95,0
21,Private,31,25,Some college but no degree,0,College or university,Never married,Retail trade,Handlers equip cleaners etc,White,All other,Male,Not in universe,Not in universe,Unemployed part- time,4,0,6,Single,Not in universe,New York,Child 18+ never marr Not in a subfamily,Child 18 or older,Not in universe under 1 year old,6,Not in universe,Mexico,Mexico,United-States,Native- Born in the United States,0,Not in universe,2,26,95,0
82,Not in universe,0,0,7th and 8th grade,1,Not in universe, Widowed,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,9,0,0,Nonfiler,Not in universe,Kentucky,Householder,Householder,Yes,0,Not in universe,,,Yugoslavia,Native- Born in the United States,0,Not in universe,2,0,94,0
10,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,5,0,4,Nonfiler,Not in universe,Maryland,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
34,Local government,37,25,Some college but no degree,0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Adm support including clerical,White,Puerto Rican,Male,No,Not in universe,Children or Armed Forces,0,0,0,Joint both under 65,Not in universe,Maine,Spouse of householder,Spouse of householder,Yes,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
39,Private,33,2,Some college but no degree,1,Not in universe,Divorced,Retail trade,Sales,White,Do not know,Female,Not in universe,Not in universe,Children or Armed Forces,6,0,9,Head of household,West,West Virginia,Child 18+ ever marr RP of subfamily,Child 18 or older,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
18, Not in universe,0,0, 10th grade,0, College or university, Never married, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,11,0,7, Nonfiler, Not in universe,Connecticut, Child 18+ never marr Not in a subfamily, Child 18 or older, Yes,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,0,94,0
21, Private,44,30, High school graduate,0, Not in universe, Never married, Business and repair services,Private household services, White, All other, Female, No, Re-entrant, Full-time schedules,2,0,5, Single, Not in universe,Maryland, Nonfamily householder, Other relative of householder, Not in universe under 1 year old,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,18,95,0
77, Not in universe,0,0, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Not in universe or children, Not in universe, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,10,0,3, Nonfiler, Northeast,Maine, Nonfamily householder, Householder, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Yes,2,0,94,1
11,Private,32,41,High school graduate,0,Not in universe,Never married,Wholesale trade,Handlers equip cleaners etc,Other,Mexican-American,Male,Not in universe,Not in universe,Children or Armed Forces,2,0,0,Nonfiler,Northeast,Washington,Child <18 never marr not in subfamily,Child under 18 never married,No,2,Mother only present,Mexico,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
11,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,White,All other,Female,Not in universe,Not in universe,Children or Armed Forces,8,0,11,Nonfiler,Not in universe,Vermont,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Mother only present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
12,Not in universe,0,0,Children,1,Not in universe,Never married,Not in universe or children,Not in universe,Black,All other,Male,Not in universe,Not in universe,Children or Armed Forces,10,0,4,Nonfiler,Not in universe,West Virginia,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
28, Private,8,11, Bachelors degree(BA AB BS),0, Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,1,6877, Joint both under 65, Not in universe,Mississippi, Child 18+ ever marr RP of subfamily, Other relative of householder, Yes,5, Not in universe, Italy, ?, United-States, Native- Born in the United States,0, Not in universe,2,52,94,1
37, Private,33,36, High school graduate,1453, Not in universe, Married-civilian spouse present, Retail trade, Sales, White, NA, Male, Not in universe, Not in universe, Full-time schedules,4,0,4, Joint both under 65, Not in universe,Louisiana, Spouse of householder, Spouse of householder, Not in universe under 1 year old,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,37,95,0
51, Private,30,17, Associates degree-occup /vocational,0, Not in universe, Divorced, Transportation, Sales, Amer Indian Aleut or Eskimo, All other, Male, Not in universe, Not in universe, Children or Armed Forces,7,0,5, Head of household, Not in universe,Vermont, Householder, Householder, No,2, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,94,1
